Country,Question,Our Value,Survey Value,LLM Value,Our-Survey Diff,LLM-Survey Diff,LLM-Our Diff,Abs Our-Survey Diff,Abs LLM-Survey Diff,Abs LLM-Our Diff
9,Q45,1.0,3.0,2.0,-2.0,-1.0,1.0,2.0,1.0,1.0
9,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Q184,7.0,5.0,7.33,2.0,2.33,0.33,2.0,2.33,0.33
10,Q218,2.0,2.0,1.67,0.0,-0.33,-0.33,0.0,0.33,0.33
10,Q254,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
10,Q45,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
11,Q184,4.67,10.0,7.33,-5.33,-2.67,2.66,5.33,2.67,2.66
11,Q218,3.0,1.0,1.67,2.0,0.67,-1.33,2.0,0.67,1.33
11,Q254,1.67,1.0,2.0,0.67,1.0,0.33,0.67,1.0,0.33
11,Q45,1.0,2.0,2.0,-1.0,0.0,1.0,1.0,0.0,1.0
11,Q46,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
11,Q57,4.0,1.0,2.0,3.0,1.0,-2.0,3.0,1.0,2.0
12,Q184,6.0,10.0,7.0,-4.0,-3.0,1.0,4.0,3.0,1.0
12,Q218,3.0,1.0,1.33,2.0,0.33,-1.67,2.0,0.33,1.67
12,Q254,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
12,Q45,2.0,2.0,1.33,0.0,-0.67,-0.67,0.0,0.67,0.67
12,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Q57,3.67,1.0,2.0,2.67,1.0,-1.67,2.67,1.0,1.67
13,Q184,6.0,8.0,7.33,-2.0,-0.67,1.33,2.0,0.67,1.33
13,Q218,2.0,1.0,1.33,1.0,0.33,-0.67,1.0,0.33,0.67
13,Q254,1.67,1.0,2.0,0.67,1.0,0.33,0.67,1.0,0.33
13,Q45,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
13,Q46,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
13,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Q184,6.0,10.0,7.67,-4.0,-2.33,1.67,4.0,2.33,1.67
14,Q218,2.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
14,Q254,1.0,3.0,1.0,-2.0,-2.0,0.0,2.0,2.0,0.0
14,Q45,2.33,3.0,1.33,-0.67,-1.67,-1.0,0.67,1.67,1.0
14,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
15,Q184,6.33,7.0,7.67,-0.67,0.67,1.34,0.67,0.67,1.34
15,Q218,2.0,2.0,1.33,0.0,-0.67,-0.67,0.0,0.67,0.67
15,Q254,1.67,1.0,1.67,0.67,0.67,0.0,0.67,0.67,0.0
15,Q45,2.33,1.0,2.0,1.33,1.0,-0.33,1.33,1.0,0.33
15,Q46,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
15,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
16,Q184,6.0,6.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0
16,Q218,2.0,2.0,1.33,0.0,-0.67,-0.67,0.0,0.67,0.67
16,Q254,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
16,Q45,2.0,2.0,1.67,0.0,-0.33,-0.33,0.0,0.33,0.33
16,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
17,Q184,7.0,5.0,7.33,2.0,2.33,0.33,2.0,2.33,0.33
17,Q218,2.0,2.0,1.33,0.0,-0.67,-0.67,0.0,0.67,0.67
17,Q254,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Q45,1.33,3.0,1.67,-1.67,-1.33,0.34,1.67,1.33,0.34
17,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Q184,5.0,10.0,7.0,-5.0,-3.0,2.0,5.0,3.0,2.0
18,Q218,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
18,Q254,1.67,1.0,2.0,0.67,1.0,0.33,0.67,1.0,0.33
18,Q45,1.33,1.0,1.67,0.33,0.67,0.34,0.33,0.67,0.34
18,Q46,2.0,3.0,2.0,-1.0,-1.0,0.0,1.0,1.0,0.0
18,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Q184,7.0,10.0,7.0,-3.0,-3.0,0.0,3.0,3.0,0.0
19,Q218,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
19,Q254,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
19,Q45,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
19,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
20,Q184,5.0,10.0,8.0,-5.0,-2.0,3.0,5.0,2.0,3.0
20,Q218,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
20,Q254,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
20,Q45,3.0,2.0,1.67,1.0,-0.33,-1.33,1.0,0.33,1.33
20,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Q57,3.0,2.0,2.0,1.0,0.0,-1.0,1.0,0.0,1.0
21,Q184,5.33,1.0,7.33,4.33,6.33,2.0,4.33,6.33,2.0
21,Q218,2.0,2.0,1.33,0.0,-0.67,-0.67,0.0,0.67,0.67
21,Q254,2.0,2.0,1.67,0.0,-0.33,-0.33,0.0,0.33,0.33
21,Q45,3.0,2.0,1.67,1.0,-0.33,-1.33,1.0,0.33,1.33
21,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
22,Q184,7.0,6.0,7.0,1.0,1.0,0.0,1.0,1.0,0.0
22,Q218,2.0,2.0,1.33,0.0,-0.67,-0.67,0.0,0.67,0.67
22,Q254,2.0,5.0,2.0,-3.0,-3.0,0.0,3.0,3.0,0.0
22,Q45,3.0,1.0,1.67,2.0,0.67,-1.33,2.0,0.67,1.33
22,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Q184,5.33,5.0,8.0,0.33,3.0,2.67,0.33,3.0,2.67
23,Q218,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
23,Q254,1.0,2.0,1.67,-1.0,-0.33,0.67,1.0,0.33,0.67
23,Q45,2.0,2.0,1.67,0.0,-0.33,-0.33,0.0,0.33,0.33
23,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Q184,6.33,10.0,7.33,-3.67,-2.67,1.0,3.67,2.67,1.0
24,Q218,3.0,1.0,1.33,2.0,0.33,-1.67,2.0,0.33,1.67
24,Q254,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Q45,2.33,2.0,1.67,0.33,-0.33,-0.66,0.33,0.33,0.66
24,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Q57,3.67,2.0,2.0,1.67,0.0,-1.67,1.67,0.0,1.67
25,Q184,5.33,9.0,7.0,-3.67,-2.0,1.67,3.67,2.0,1.67
25,Q218,2.0,2.0,1.0,0.0,-1.0,-1.0,0.0,1.0,1.0
25,Q254,2.0,2.0,1.33,0.0,-0.67,-0.67,0.0,0.67,0.67
25,Q45,1.0,2.0,1.67,-1.0,-0.33,0.67,1.0,0.33,0.67
25,Q46,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
25,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
26,Q184,6.67,10.0,7.0,-3.33,-3.0,0.33,3.33,3.0,0.33
26,Q218,3.0,1.0,1.67,2.0,0.67,-1.33,2.0,0.67,1.33
26,Q254,2.67,1.0,1.67,1.67,0.67,-1.0,1.67,0.67,1.0
26,Q45,3.0,3.0,1.67,0.0,-1.33,-1.33,0.0,1.33,1.33
26,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Q57,4.0,1.0,2.0,3.0,1.0,-2.0,3.0,1.0,2.0
27,Q184,5.0,10.0,7.33,-5.0,-2.67,2.33,5.0,2.67,2.33
27,Q218,2.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
27,Q254,1.67,2.0,2.0,-0.33,0.0,0.33,0.33,0.0,0.33
27,Q45,2.0,2.0,1.67,0.0,-0.33,-0.33,0.0,0.33,0.33
27,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
27,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Q184,6.67,9.0,7.0,-2.33,-2.0,0.33,2.33,2.0,0.33
28,Q218,3.0,3.0,1.33,0.0,-1.67,-1.67,0.0,1.67,1.67
28,Q254,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
28,Q45,3.0,1.0,2.0,2.0,1.0,-1.0,2.0,1.0,1.0
28,Q46,2.33,2.0,2.0,0.33,0.0,-0.33,0.33,0.0,0.33
28,Q57,4.0,1.0,2.0,3.0,1.0,-2.0,3.0,1.0,2.0
29,Q184,7.0,10.0,7.67,-3.0,-2.33,0.67,3.0,2.33,0.67
29,Q218,2.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
29,Q254,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
29,Q45,2.33,1.0,2.0,1.33,1.0,-0.33,1.33,1.0,0.33
29,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Q57,3.0,2.0,2.0,1.0,0.0,-1.0,1.0,0.0,1.0
30,Q184,1.0,4.0,7.67,-3.0,3.67,6.67,3.0,3.67,6.67
30,Q218,2.0,3.0,1.67,-1.0,-1.33,-0.33,1.0,1.33,0.33
30,Q254,1.0,2.0,1.67,-1.0,-0.33,0.67,1.0,0.33,0.67
30,Q45,1.0,2.0,1.67,-1.0,-0.33,0.67,1.0,0.33,0.67
30,Q46,1.0,2.0,2.0,-1.0,0.0,1.0,1.0,0.0,1.0
30,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Q184,5.0,1.0,7.67,4.0,6.67,2.67,4.0,6.67,2.67
31,Q218,3.0,1.0,1.67,2.0,0.67,-1.33,2.0,0.67,1.33
31,Q254,2.0,4.0,1.67,-2.0,-2.33,-0.33,2.0,2.33,0.33
31,Q45,2.67,1.0,2.0,1.67,1.0,-0.67,1.67,1.0,0.67
31,Q46,2.0,4.0,2.0,-2.0,-2.0,0.0,2.0,2.0,0.0
31,Q57,4.0,2.0,2.0,2.0,0.0,-2.0,2.0,0.0,2.0
32,Q184,5.33,9.0,7.33,-3.67,-1.67,2.0,3.67,1.67,2.0
32,Q218,2.0,3.0,1.33,-1.0,-1.67,-0.67,1.0,1.67,0.67
32,Q254,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
32,Q45,1.67,1.0,2.0,0.67,1.0,0.33,0.67,1.0,0.33
32,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Q57,3.67,2.0,2.0,1.67,0.0,-1.67,1.67,0.0,1.67
33,Q184,6.67,3.0,7.33,3.67,4.33,0.66,3.67,4.33,0.66
33,Q218,2.0,1.0,1.67,1.0,0.67,-0.33,1.0,0.67,0.33
33,Q254,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
33,Q45,1.67,1.0,1.67,0.67,0.67,0.0,0.67,0.67,0.0
33,Q46,2.0,3.0,2.0,-1.0,-1.0,0.0,1.0,1.0,0.0
33,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Q184,7.33,7.0,7.33,0.33,0.33,0.0,0.33,0.33,0.0
34,Q218,2.0,1.0,1.33,1.0,0.33,-0.67,1.0,0.33,0.67
34,Q254,2.0,3.0,2.0,-1.0,-1.0,0.0,1.0,1.0,0.0
34,Q45,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Q46,2.0,3.0,2.0,-1.0,-1.0,0.0,1.0,1.0,0.0
34,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
35,Q184,7.0,5.0,7.33,2.0,2.33,0.33,2.0,2.33,0.33
35,Q218,3.0,3.0,1.0,0.0,-2.0,-2.0,0.0,2.0,2.0
35,Q254,2.0,4.0,2.0,-2.0,-2.0,0.0,2.0,2.0,0.0
35,Q45,3.0,2.0,1.67,1.0,-0.33,-1.33,1.0,0.33,1.33
35,Q46,2.0,3.0,2.0,-1.0,-1.0,0.0,1.0,1.0,0.0
35,Q57,4.0,2.0,2.0,2.0,0.0,-2.0,2.0,0.0,2.0
36,Q184,5.67,7.0,7.33,-1.33,0.33,1.66,1.33,0.33,1.66
36,Q218,2.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
36,Q254,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
36,Q45,2.0,2.0,1.67,0.0,-0.33,-0.33,0.0,0.33,0.33
36,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
37,Q184,7.0,10.0,7.67,-3.0,-2.33,0.67,3.0,2.33,0.67
37,Q218,2.0,1.0,1.33,1.0,0.33,-0.67,1.0,0.33,0.67
37,Q254,1.67,1.0,1.67,0.67,0.67,0.0,0.67,0.67,0.0
37,Q45,3.0,3.0,1.67,0.0,-1.33,-1.33,0.0,1.33,1.33
37,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Q57,2.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0
38,Q184,6.67,7.0,7.33,-0.33,0.33,0.66,0.33,0.33,0.66
38,Q218,2.0,1.0,1.33,1.0,0.33,-0.67,1.0,0.33,0.67
38,Q254,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0
38,Q45,1.67,2.0,1.67,-0.33,-0.33,0.0,0.33,0.33,0.0
38,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Q57,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Q184,5.0,9.0,7.33,-4.0,-1.67,2.33,4.0,1.67,2.33
39,Q218,2.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,1.0
39,Q254,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Q45,1.33,2.0,1.67,-0.67,-0.33,0.34,0.67,0.33,0.34
39,Q46,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Q57,2.0,1.0,2.33,1.0,1.33,0.33,1.0,1.33,0.33
