profile_id,country_name,country_code,Q45,Q46,Q57,Q184,Q218,Q254
31,CAN,20,2.00,2.00,2.00,4.00,3.00,2.00
32,CAN,20,1.00,4.00,2.00,1.00,1.00,4.00
33,CAN,20,1.00,2.00,2.00,9.00,3.00,1.00
34,CAN,20,1.00,3.00,2.00,3.00,1.00,1.00
35,CAN,20,2.00,3.00,1.00,7.00,1.00,3.00
36,CAN,20,2.00,3.00,2.00,5.00,3.00,4.00
37,CAN,20,2.00,2.00,1.00,7.00,1.00,1.00
38,CAN,20,3.00,2.00,1.00,10.00,1.00,1.00
39,CAN,20,2.00,2.00,2.00,7.00,1.00,1.00
40,CAN,20,2.00,2.00,1.00,9.00,1.00,2.00
41,CAN,20,2.00,2.00,2.00,5.00,3.00,4.00
42,CAN,20,1.00,2.00,1.00,4.00,2.00,2.00
43,CAN,20,2.00,3.00,2.00,9.00,1.00,1.00
44,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
45,CAN,20,2.00,2.00,1.00,9.00,1.00,1.00
46,CAN,20,1.00,2.00,2.00,5.00,1.00,1.00
47,CAN,20,1.00,2.00,1.00,3.00,1.00,1.00
48,CAN,20,1.00,1.00,1.00,4.00,2.00,1.00
49,CAN,20,2.00,1.00,2.00,9.00,1.00,1.00
50,CAN,20,1.00,2.00,2.00,5.00,1.00,1.00
51,CAN,20,1.00,2.00,1.00,1.00,2.00,2.00
52,CAN,20,2.00,2.00,2.00,2.00,3.00,2.00
53,CAN,20,1.00,2.00,1.00,8.00,1.00,1.00
54,CAN,20,2.00,2.00,1.00,8.00,1.00,2.00
55,CAN,20,2.00,2.00,1.00,5.00,3.00,1.00
56,CAN,20,3.00,3.00,2.00,10.00,1.00,1.00
57,CAN,20,1.00,2.00,1.00,10.00,1.00,2.00
58,CAN,20,2.00,1.00,1.00,2.00,1.00,1.00
59,CAN,20,1.00,2.00,1.00,6.00,2.00,1.00
60,CAN,20,3.00,2.00,1.00,10.00,1.00,2.00
61,CAN,20,3.00,2.00,1.00,7.00,1.00,2.00
62,CAN,20,1.00,2.00,2.00,7.00,3.00,1.00
63,CAN,20,2.00,2.00,1.00,5.00,1.00,2.00
64,CAN,20,2.00,3.00,1.00,10.00,3.00,4.00
65,CAN,20,1.00,2.00,1.00,10.00,3.00,1.00
66,CAN,20,1.00,2.00,2.00,8.00,2.00,2.00
67,CAN,20,2.00,2.00,1.00,7.00,1.00,1.00
68,CAN,20,2.00,3.00,2.00,10.00,1.00,2.00
69,CAN,20,1.00,2.00,2.00,8.00,2.00,2.00
70,CAN,20,2.00,2.00,2.00,8.00,2.00,1.00
71,CAN,20,2.00,2.00,1.00,10.00,1.00,2.00
72,CAN,20,2.00,2.00,1.00,6.00,1.00,2.00
73,CAN,20,1.00,1.00,2.00,10.00,1.00,5.00
74,CAN,20,2.00,1.00,1.00,10.00,1.00,1.00
75,CAN,20,2.00,3.00,1.00,9.00,1.00,1.00
76,CAN,20,2.00,1.00,2.00,10.00,1.00,2.00
77,CAN,20,1.00,2.00,1.00,5.00,1.00,2.00
78,CAN,20,1.00,1.00,2.00,5.00,3.00,1.00
79,CAN,20,3.00,1.00,1.00,9.00,1.00,1.00
80,CAN,20,3.00,4.00,2.00,10.00,1.00,3.00
81,CAN,20,2.00,2.00,1.00,8.00,1.00,1.00
82,CAN,20,3.00,2.00,1.00,9.00,1.00,5.00
83,CAN,20,2.00,2.00,2.00,5.00,1.00,1.00
84,CAN,20,2.00,2.00,2.00,5.00,3.00,3.00
85,CAN,20,2.00,1.00,2.00,2.00,2.00,1.00
86,CAN,20,1.00,2.00,2.00,2.00,1.00,2.00
87,CAN,20,3.00,2.00,1.00,6.00,1.00,1.00
88,CAN,20,1.00,2.00,2.00,4.00,2.00,1.00
89,CAN,20,3.00,2.00,1.00,10.00,1.00,2.00
90,CAN,20,2.00,2.00,2.00,7.00,2.00,2.00
91,CAN,20,3.00,2.00,2.00,4.00,2.00,5.00
92,CAN,20,2.00,2.00,1.00,5.00,1.00,1.00
93,CAN,20,1.00,2.00,1.00,7.00,2.00,2.00
94,CAN,20,2.00,3.00,1.00,5.00,1.00,2.00
95,CAN,20,1.00,1.00,2.00,7.00,1.00,2.00
96,CAN,20,3.00,2.00,2.00,10.00,1.00,2.00
97,CAN,20,2.00,2.00,2.00,10.00,2.00,2.00
98,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
99,CAN,20,1.00,3.00,1.00,8.00,2.00,1.00
100,CAN,20,2.00,2.00,2.00,8.00,1.00,1.00
101,CAN,20,3.00,2.00,1.00,10.00,1.00,2.00
102,CAN,20,1.00,2.00,1.00,3.00,1.00,2.00
103,CAN,20,1.00,2.00,2.00,5.00,1.00,1.00
104,CAN,20,2.00,2.00,1.00,6.00,1.00,2.00
105,CAN,20,2.00,2.00,2.00,5.00,3.00,2.00
106,CAN,20,1.00,1.00,1.00,1.00,3.00,1.00
107,CAN,20,2.00,3.00,1.00,8.00,2.00,1.00
108,CAN,20,1.00,1.00,1.00,6.00,2.00,4.00
109,CAN,20,1.00,2.00,2.00,10.00,1.00,1.00
110,CAN,20,1.00,2.00,1.00,5.00,3.00,1.00
111,CAN,20,3.00,2.00,2.00,10.00,1.00,5.00
112,CAN,20,1.00,2.00,2.00,4.00,1.00,1.00
113,CAN,20,2.00,2.00,2.00,8.00,1.00,1.00
114,CAN,20,2.00,2.00,1.00,8.00,1.00,1.00
115,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
116,CAN,20,1.00,2.00,1.00,9.00,3.00,1.00
117,CAN,20,1.00,1.00,1.00,8.00,1.00,1.00
118,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
119,CAN,20,1.00,3.00,2.00,8.00,2.00,2.00
120,CAN,20,3.00,2.00,1.00,8.00,1.00,1.00
121,CAN,20,1.00,2.00,2.00,9.00,2.00,3.00
122,CAN,20,2.00,1.00,1.00,10.00,1.00,1.00
123,CAN,20,1.00,2.00,2.00,4.00,1.00,2.00
124,CAN,20,2.00,2.00,1.00,3.00,2.00,2.00
125,CAN,20,2.00,1.00,1.00,10.00,1.00,1.00
126,CAN,20,1.00,3.00,2.00,4.00,2.00,2.00
127,CAN,20,3.00,2.00,2.00,8.00,3.00,1.00
128,CAN,20,2.00,2.00,1.00,4.00,1.00,1.00
129,CAN,20,2.00,2.00,2.00,7.00,2.00,1.00
130,CAN,20,1.00,2.00,2.00,4.00,2.00,1.00
131,CAN,20,1.00,3.00,2.00,7.00,2.00,2.00
132,CAN,20,3.00,2.00,2.00,8.00,1.00,1.00
133,CAN,20,2.00,2.00,2.00,5.00,2.00,5.00
134,CAN,20,1.00,2.00,1.00,6.00,3.00,2.00
135,CAN,20,1.00,2.00,2.00,8.00,3.00,1.00
136,CAN,20,1.00,2.00,1.00,7.00,2.00,1.00
137,CAN,20,2.00,2.00,1.00,10.00,1.00,1.00
138,CAN,20,2.00,2.00,2.00,8.00,1.00,2.00
139,CAN,20,1.00,1.00,2.00,5.00,1.00,2.00
140,CAN,20,1.00,3.00,2.00,1.00,2.00,1.00
141,CAN,20,1.00,1.00,2.00,5.00,3.00,1.00
142,CAN,20,1.00,2.00,1.00,5.00,1.00,1.00
143,CAN,20,1.00,2.00,1.00,8.00,1.00,2.00
144,CAN,20,2.00,2.00,1.00,6.00,1.00,1.00
145,CAN,20,2.00,2.00,1.00,10.00,2.00,1.00
146,CAN,20,1.00,1.00,2.00,6.00,3.00,1.00
147,CAN,20,2.00,2.00,1.00,10.00,1.00,1.00
148,CAN,20,1.00,2.00,2.00,5.00,1.00,4.00
149,CAN,20,2.00,1.00,1.00,8.00,1.00,1.00
150,CAN,20,2.00,2.00,2.00,5.00,1.00,1.00
151,CAN,20,1.00,2.00,1.00,5.00,1.00,1.00
152,CAN,20,1.00,1.00,1.00,7.00,1.00,1.00
153,CAN,20,2.00,1.00,2.00,4.00,3.00,2.00
154,CAN,20,2.00,3.00,1.00,5.00,2.00,2.00
155,CAN,20,1.00,2.00,1.00,2.00,1.00,1.00
156,CAN,20,1.00,2.00,1.00,8.00,2.00,1.00
157,CAN,20,2.00,2.00,2.00,7.00,2.00,2.00
158,CAN,20,2.00,2.00,2.00,8.00,1.00,1.00
159,CAN,20,3.00,2.00,1.00,4.00,1.00,2.00
160,CAN,20,1.00,1.00,1.00,5.00,1.00,1.00
161,CAN,20,1.00,1.00,2.00,5.00,2.00,2.00
162,CAN,20,1.00,2.00,2.00,8.00,1.00,2.00
163,CAN,20,1.00,2.00,2.00,4.00,3.00,1.00
164,CAN,20,1.00,1.00,1.00,8.00,1.00,1.00
165,CAN,20,1.00,2.00,1.00,2.00,1.00,2.00
166,CAN,20,1.00,2.00,1.00,7.00,1.00,1.00
167,CAN,20,1.00,2.00,2.00,5.00,3.00,1.00
168,CAN,20,2.00,2.00,2.00,7.00,2.00,2.00
169,CAN,20,2.00,3.00,2.00,6.00,1.00,1.00
170,CAN,20,1.00,2.00,1.00,6.00,1.00,1.00
171,CAN,20,2.00,1.00,1.00,6.00,2.00,2.00
172,CAN,20,1.00,2.00,2.00,6.00,2.00,1.00
173,CAN,20,3.00,2.00,1.00,7.00,1.00,2.00
174,CAN,20,1.00,1.00,1.00,8.00,2.00,1.00
175,CAN,20,1.00,1.00,1.00,9.00,1.00,1.00
176,CAN,20,1.00,2.00,2.00,4.00,2.00,1.00
177,CAN,20,1.00,2.00,2.00,6.00,2.00,1.00
178,CAN,20,3.00,2.00,2.00,2.00,1.00,1.00
179,CAN,20,2.00,2.00,2.00,10.00,1.00,1.00
180,CAN,20,1.00,3.00,1.00,8.00,2.00,1.00
181,CAN,20,3.00,2.00,2.00,3.00,1.00,2.00
182,CAN,20,1.00,2.00,2.00,10.00,1.00,2.00
183,CAN,20,2.00,2.00,2.00,9.00,1.00,1.00
184,CAN,20,1.00,2.00,1.00,5.00,2.00,2.00
185,CAN,20,1.00,2.00,2.00,5.00,1.00,1.00
186,CAN,20,1.00,2.00,1.00,8.00,1.00,1.00
187,CAN,20,1.00,2.00,2.00,6.00,1.00,1.00
188,CAN,20,1.00,1.00,1.00,3.00,1.00,2.00
189,CAN,20,2.00,1.00,2.00,9.00,1.00,2.00
190,CAN,20,3.00,2.00,1.00,10.00,1.00,2.00
191,CAN,20,2.00,2.00,1.00,7.00,1.00,2.00
192,CAN,20,1.00,1.00,1.00,10.00,2.00,1.00
193,CAN,20,1.00,2.00,2.00,7.00,1.00,2.00
194,CAN,20,2.00,4.00,2.00,10.00,3.00,2.00
195,CAN,20,1.00,2.00,1.00,9.00,2.00,1.00
196,CAN,20,1.00,1.00,1.00,8.00,2.00,1.00
197,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
198,CAN,20,2.00,2.00,2.00,9.00,2.00,1.00
199,CAN,20,2.00,2.00,2.00,6.00,1.00,1.00
200,CAN,20,2.00,1.00,2.00,1.00,3.00,1.00
201,CAN,20,1.00,2.00,1.00,10.00,2.00,2.00
202,CAN,20,3.00,2.00,2.00,10.00,1.00,1.00
203,CAN,20,3.00,2.00,2.00,10.00,1.00,2.00
204,CAN,20,1.00,2.00,2.00,1.00,2.00,1.00
205,CAN,20,2.00,4.00,2.00,7.00,1.00,2.00
206,CAN,20,2.00,2.00,2.00,1.00,2.00,1.00
207,CAN,20,2.00,1.00,2.00,8.00,1.00,1.00
208,CAN,20,2.00,2.00,2.00,7.00,2.00,1.00
209,CAN,20,1.00,2.00,1.00,10.00,1.00,2.00
210,CAN,20,1.00,2.00,1.00,6.00,1.00,1.00
211,CAN,20,1.00,1.00,1.00,7.00,1.00,1.00
212,CAN,20,1.00,1.00,2.00,8.00,2.00,1.00
213,CAN,20,2.00,1.00,1.00,9.00,1.00,1.00
214,CAN,20,2.00,2.00,2.00,8.00,1.00,1.00
215,CAN,20,2.00,2.00,2.00,9.00,1.00,1.00
216,CAN,20,1.00,1.00,1.00,9.00,1.00,2.00
217,CAN,20,1.00,2.00,2.00,10.00,1.00,2.00
218,CAN,20,2.00,2.00,2.00,8.00,1.00,2.00
219,CAN,20,1.00,1.00,1.00,6.00,2.00,1.00
220,CAN,20,1.00,2.00,2.00,10.00,1.00,5.00
221,CAN,20,1.00,1.00,2.00,1.00,2.00,2.00
222,CAN,20,2.00,2.00,2.00,5.00,1.00,3.00
223,CAN,20,2.00,1.00,2.00,8.00,2.00,2.00
224,CAN,20,1.00,2.00,1.00,6.00,1.00,1.00
225,CAN,20,2.00,1.00,2.00,10.00,1.00,2.00
226,CAN,20,1.00,2.00,1.00,10.00,2.00,1.00
227,CAN,20,2.00,2.00,2.00,8.00,1.00,1.00
228,CAN,20,2.00,2.00,2.00,5.00,2.00,4.00
229,CAN,20,2.00,2.00,2.00,5.00,3.00,3.00
230,CAN,20,3.00,1.00,1.00,10.00,1.00,2.00
231,CAN,20,3.00,1.00,1.00,8.00,1.00,2.00
232,CAN,20,1.00,1.00,1.00,10.00,1.00,1.00
233,CAN,20,2.00,2.00,2.00,5.00,3.00,2.00
234,CAN,20,1.00,1.00,1.00,1.00,2.00,1.00
235,CAN,20,1.00,2.00,2.00,6.00,1.00,1.00
236,CAN,20,2.00,2.00,1.00,1.00,2.00,1.00
237,CAN,20,1.00,3.00,1.00,2.00,2.00,1.00
238,CAN,20,1.00,2.00,1.00,5.00,1.00,2.00
239,CAN,20,3.00,3.00,2.00,8.00,1.00,3.00
240,CAN,20,2.00,2.00,2.00,5.00,1.00,3.00
241,CAN,20,1.00,1.00,2.00,5.00,3.00,1.00
242,CAN,20,1.00,3.00,2.00,9.00,1.00,5.00
243,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
244,CAN,20,2.00,2.00,2.00,8.00,1.00,1.00
245,CAN,20,2.00,2.00,2.00,7.00,2.00,2.00
246,CAN,20,1.00,2.00,1.00,8.00,2.00,3.00
247,CAN,20,2.00,4.00,1.00,10.00,2.00,1.00
248,CAN,20,2.00,3.00,2.00,7.00,2.00,3.00
249,CAN,20,2.00,1.00,1.00,7.00,1.00,1.00
250,CAN,20,1.00,1.00,2.00,5.00,1.00,1.00
251,CAN,20,3.00,2.00,1.00,8.00,1.00,1.00
252,CAN,20,3.00,1.00,2.00,9.00,2.00,1.00
253,CAN,20,2.00,2.00,2.00,9.00,2.00,2.00
254,CAN,20,1.00,1.00,1.00,7.00,1.00,1.00
255,CAN,20,1.00,3.00,1.00,7.00,2.00,1.00
256,CAN,20,2.00,2.00,2.00,5.00,2.00,1.00
257,CAN,20,3.00,2.00,2.00,10.00,1.00,2.00
258,CAN,20,3.00,1.00,2.00,8.00,1.00,1.00
259,CAN,20,2.00,2.00,2.00,7.00,2.00,1.00
260,CAN,20,1.00,1.00,1.00,5.00,1.00,1.00
261,CAN,20,3.00,3.00,2.00,1.00,1.00,3.00
262,CAN,20,2.00,4.00,1.00,4.00,2.00,4.00
263,CAN,20,1.00,1.00,1.00,9.00,3.00,1.00
264,CAN,20,2.00,3.00,1.00,3.00,2.00,1.00
265,CAN,20,1.00,1.00,1.00,5.00,2.00,2.00
266,CAN,20,2.00,2.00,1.00,2.00,2.00,4.00
267,CAN,20,3.00,2.00,1.00,5.00,3.00,1.00
268,CAN,20,2.00,2.00,2.00,1.00,1.00,1.00
269,CAN,20,1.00,2.00,1.00,10.00,3.00,1.00
270,CAN,20,2.00,3.00,2.00,10.00,2.00,2.00
271,CAN,20,1.00,2.00,1.00,10.00,1.00,3.00
272,CAN,20,1.00,2.00,1.00,7.00,1.00,2.00
273,CAN,20,1.00,2.00,2.00,4.00,3.00,1.00
274,CAN,20,1.00,2.00,2.00,5.00,1.00,1.00
275,CAN,20,1.00,2.00,1.00,8.00,1.00,1.00
276,CAN,20,2.00,2.00,2.00,9.00,2.00,1.00
277,CAN,20,1.00,3.00,2.00,1.00,1.00,4.00
278,CAN,20,1.00,2.00,1.00,10.00,1.00,1.00
279,CAN,20,2.00,2.00,1.00,8.00,1.00,2.00
280,CAN,20,3.00,2.00,1.00,9.00,2.00,1.00
281,CAN,20,3.00,2.00,1.00,9.00,1.00,2.00
282,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
283,CAN,20,3.00,3.00,1.00,9.00,2.00,3.00
284,CAN,20,2.00,2.00,1.00,8.00,3.00,1.00
285,CAN,20,1.00,2.00,2.00,1.00,3.00,2.00
286,CAN,20,1.00,2.00,1.00,4.00,3.00,1.00
287,CAN,20,1.00,2.00,2.00,5.00,1.00,2.00
288,CAN,20,2.00,2.00,1.00,8.00,1.00,2.00
289,CAN,20,2.00,2.00,2.00,7.00,1.00,1.00
290,CAN,20,2.00,1.00,2.00,5.00,2.00,1.00
291,CAN,20,1.00,2.00,1.00,8.00,1.00,1.00
292,CAN,20,2.00,1.00,1.00,10.00,1.00,1.00
293,CAN,20,1.00,2.00,2.00,6.00,2.00,3.00
294,CAN,20,2.00,2.00,1.00,5.00,3.00,2.00
295,CAN,20,2.00,2.00,1.00,9.00,2.00,2.00
296,CAN,20,1.00,2.00,1.00,7.00,1.00,1.00
297,CAN,20,3.00,2.00,2.00,8.00,1.00,2.00
298,CAN,20,2.00,2.00,1.00,9.00,1.00,1.00
299,CAN,20,2.00,2.00,1.00,7.00,2.00,2.00
300,CAN,20,2.00,2.00,1.00,7.00,1.00,2.00
301,CAN,20,2.00,2.00,1.00,4.00,1.00,2.00
302,CAN,20,2.00,2.00,2.00,8.00,1.00,1.00
303,CAN,20,1.00,1.00,2.00,5.00,1.00,2.00
304,CAN,20,1.00,2.00,1.00,10.00,2.00,2.00
305,CAN,20,1.00,1.00,2.00,4.00,3.00,1.00
306,CAN,20,1.00,1.00,2.00,10.00,1.00,2.00
307,CAN,20,2.00,1.00,2.00,9.00,3.00,1.00
308,CAN,20,1.00,1.00,1.00,8.00,1.00,1.00
309,CAN,20,2.00,2.00,1.00,10.00,1.00,2.00
310,CAN,20,1.00,2.00,1.00,9.00,1.00,2.00
311,CAN,20,2.00,1.00,1.00,8.00,1.00,1.00
312,CAN,20,1.00,2.00,1.00,6.00,2.00,1.00
313,CAN,20,3.00,1.00,1.00,1.00,3.00,1.00
314,CAN,20,1.00,1.00,1.00,6.00,3.00,1.00
315,CAN,20,2.00,1.00,1.00,9.00,1.00,4.00
316,CAN,20,3.00,1.00,1.00,7.00,2.00,1.00
317,CAN,20,1.00,2.00,2.00,9.00,2.00,1.00
318,CAN,20,2.00,2.00,2.00,9.00,1.00,2.00
319,CAN,20,2.00,2.00,1.00,10.00,1.00,1.00
320,CAN,20,3.00,2.00,2.00,9.00,2.00,1.00
321,CAN,20,2.00,3.00,1.00,9.00,1.00,3.00
322,CAN,20,3.00,2.00,1.00,10.00,2.00,2.00
323,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
324,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
325,CAN,20,1.00,2.00,2.00,5.00,1.00,2.00
326,CAN,20,1.00,2.00,1.00,9.00,2.00,2.00
327,CAN,20,1.00,1.00,1.00,6.00,1.00,2.00
328,CAN,20,1.00,2.00,1.00,8.00,3.00,1.00
329,CAN,20,1.00,3.00,1.00,10.00,2.00,1.00
330,CAN,20,1.00,2.00,2.00,1.00,3.00,1.00
331,CAN,20,2.00,2.00,1.00,10.00,1.00,1.00
332,CAN,20,2.00,3.00,1.00,10.00,1.00,1.00
333,CAN,20,2.00,2.00,1.00,8.00,1.00,1.00
334,CAN,20,2.00,2.00,1.00,8.00,3.00,2.00
335,CAN,20,3.00,2.00,1.00,9.00,2.00,2.00
336,CAN,20,1.00,2.00,1.00,1.00,3.00,2.00
337,CAN,20,3.00,4.00,2.00,5.00,1.00,1.00
338,CAN,20,2.00,1.00,1.00,10.00,1.00,1.00
339,CAN,20,1.00,2.00,2.00,3.00,2.00,2.00
340,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
341,CAN,20,1.00,1.00,1.00,3.00,1.00,1.00
342,CAN,20,3.00,1.00,1.00,10.00,1.00,2.00
343,CAN,20,1.00,3.00,1.00,8.00,3.00,1.00
344,CAN,20,1.00,2.00,2.00,10.00,1.00,2.00
345,CAN,20,2.00,3.00,1.00,10.00,1.00,2.00
346,CAN,20,1.00,2.00,2.00,10.00,1.00,2.00
347,CAN,20,2.00,1.00,2.00,10.00,1.00,1.00
348,CAN,20,1.00,1.00,2.00,5.00,2.00,1.00
349,CAN,20,1.00,2.00,2.00,7.00,1.00,2.00
350,CAN,20,2.00,2.00,1.00,2.00,2.00,1.00
351,CAN,20,2.00,2.00,1.00,5.00,2.00,2.00
352,CAN,20,1.00,2.00,1.00,10.00,1.00,3.00
353,CAN,20,2.00,3.00,2.00,10.00,1.00,3.00
354,CAN,20,2.00,2.00,1.00,1.00,2.00,1.00
355,CAN,20,3.00,2.00,2.00,4.00,1.00,2.00
356,CAN,20,2.00,1.00,1.00,3.00,1.00,2.00
357,CAN,20,2.00,3.00,1.00,4.00,1.00,2.00
358,CAN,20,2.00,1.00,1.00,3.00,1.00,1.00
359,CAN,20,2.00,2.00,1.00,5.00,3.00,1.00
360,CAN,20,1.00,1.00,2.00,7.00,2.00,1.00
361,CAN,20,1.00,1.00,1.00,1.00,2.00,2.00
362,CAN,20,2.00,2.00,1.00,10.00,1.00,1.00
363,CAN,20,2.00,1.00,1.00,8.00,1.00,2.00
364,CAN,20,2.00,1.00,1.00,10.00,1.00,2.00
365,CAN,20,2.00,2.00,2.00,5.00,2.00,2.00
366,CAN,20,1.00,1.00,2.00,10.00,2.00,2.00
367,CAN,20,1.00,2.00,1.00,4.00,1.00,1.00
368,CAN,20,2.00,2.00,2.00,5.00,1.00,1.00
369,CAN,20,2.00,2.00,1.00,7.00,3.00,1.00
370,CAN,20,1.00,2.00,2.00,1.00,1.00,3.00
371,CAN,20,2.00,2.00,1.00,10.00,1.00,4.00
372,CAN,20,2.00,3.00,2.00,7.00,2.00,5.00
373,CAN,20,2.00,3.00,2.00,8.00,1.00,1.00
374,CAN,20,2.00,2.00,2.00,3.00,2.00,1.00
375,CAN,20,2.00,2.00,1.00,3.00,1.00,2.00
376,CAN,20,1.00,2.00,1.00,5.00,3.00,2.00
377,CAN,20,1.00,2.00,2.00,5.00,1.00,2.00
378,CAN,20,1.00,1.00,2.00,1.00,1.00,4.00
379,CAN,20,2.00,2.00,2.00,9.00,1.00,3.00
380,CAN,20,2.00,2.00,2.00,5.00,1.00,2.00
381,CAN,20,2.00,1.00,1.00,8.00,1.00,1.00
382,CAN,20,2.00,3.00,2.00,10.00,1.00,3.00
383,CAN,20,1.00,2.00,1.00,3.00,3.00,1.00
384,CAN,20,2.00,2.00,2.00,10.00,2.00,2.00
385,CAN,20,1.00,2.00,1.00,5.00,2.00,1.00
386,CAN,20,3.00,1.00,1.00,7.00,1.00,3.00
387,CAN,20,1.00,2.00,2.00,7.00,1.00,1.00
388,CAN,20,2.00,1.00,1.00,6.00,1.00,3.00
389,CAN,20,1.00,1.00,1.00,8.00,2.00,2.00
390,CAN,20,1.00,2.00,2.00,1.00,3.00,5.00
391,CAN,20,3.00,2.00,2.00,10.00,1.00,1.00
392,CAN,20,1.00,2.00,1.00,7.00,1.00,1.00
393,CAN,20,2.00,2.00,1.00,6.00,3.00,2.00
394,CAN,20,3.00,2.00,2.00,10.00,1.00,2.00
395,CAN,20,2.00,2.00,1.00,8.00,2.00,2.00
396,CAN,20,1.00,2.00,2.00,4.00,1.00,1.00
397,CAN,20,2.00,1.00,1.00,7.00,1.00,1.00
398,CAN,20,1.00,1.00,1.00,7.00,2.00,2.00
399,CAN,20,1.00,1.00,2.00,3.00,2.00,2.00
400,CAN,20,1.00,2.00,1.00,6.00,1.00,1.00
401,CAN,20,1.00,1.00,1.00,8.00,2.00,1.00
402,CAN,20,2.00,1.00,1.00,9.00,1.00,1.00
403,CAN,20,1.00,2.00,2.00,5.00,1.00,3.00
404,CAN,20,3.00,2.00,2.00,1.00,2.00,2.00
405,CAN,20,1.00,2.00,2.00,6.00,1.00,2.00
406,CAN,20,2.00,2.00,1.00,7.00,1.00,2.00
407,CAN,20,1.00,2.00,1.00,7.00,1.00,1.00
408,CAN,20,1.00,1.00,2.00,4.00,1.00,2.00
409,CAN,20,1.00,2.00,1.00,8.00,1.00,1.00
410,CAN,20,2.00,2.00,2.00,7.00,3.00,3.00
411,CAN,20,1.00,2.00,2.00,10.00,2.00,1.00
412,CAN,20,2.00,2.00,2.00,7.00,1.00,2.00
413,CAN,20,2.00,3.00,2.00,5.00,3.00,3.00
414,CAN,20,1.00,1.00,1.00,8.00,1.00,2.00
415,CAN,20,2.00,2.00,1.00,1.00,3.00,1.00
416,CAN,20,1.00,3.00,2.00,3.00,1.00,3.00
417,CAN,20,3.00,2.00,2.00,10.00,1.00,2.00
418,CAN,20,1.00,2.00,1.00,8.00,1.00,2.00
419,CAN,20,2.00,2.00,2.00,10.00,2.00,1.00
420,CAN,20,2.00,2.00,2.00,5.00,1.00,2.00
421,CAN,20,2.00,2.00,2.00,10.00,1.00,2.00
422,CAN,20,1.00,2.00,2.00,9.00,1.00,1.00
423,CAN,20,1.00,1.00,1.00,5.00,2.00,1.00
424,CAN,20,3.00,1.00,2.00,5.00,1.00,1.00
425,CAN,20,1.00,2.00,1.00,5.00,1.00,1.00
426,CAN,20,2.00,1.00,2.00,2.00,2.00,2.00
427,CAN,20,1.00,1.00,1.00,5.00,3.00,1.00
428,CAN,20,2.00,2.00,1.00,8.00,2.00,1.00
429,CAN,20,1.00,3.00,2.00,5.00,3.00,1.00
430,CAN,20,1.00,2.00,1.00,7.00,2.00,1.00
431,CAN,20,3.00,2.00,1.00,10.00,1.00,2.00
432,CAN,20,2.00,2.00,1.00,10.00,2.00,1.00
433,CAN,20,2.00,2.00,1.00,7.00,1.00,3.00
434,CAN,20,2.00,2.00,1.00,10.00,1.00,1.00
435,CAN,20,1.00,2.00,2.00,6.00,1.00,1.00
